,portfolio,benchmark
2016-10-19,1.0337717505980324,1.0418278107083863
2016-10-20,1.029950348771833,1.0403945194830437
2016-10-21,1.0307433458117388,1.0403070644252261
2016-10-24,1.034755860807733,1.0452482751919154
2016-10-25,1.021292601407944,1.041278787289865
2016-10-26,1.0162043328140005,1.0394665241473133
2016-10-27,1.0058236705268844,1.0363618695947918
2016-10-28,1.009445813539956,1.0331406082985135
2016-10-31,1.0131857127597201,1.0330142843261105
2016-11-01,1.00695763639704,1.0260033038577399
2016-11-02,1.0026122127334758,1.0193081333203773
2016-11-03,0.9949293291763914,1.0147993392284522
2016-11-04,0.9966704150989996,1.0131085414439802
2016-11-07,1.016783213713862,1.035623360217666
2016-11-08,1.0220072407460659,1.0395296861335148
2016-11-09,1.0338279236161387,1.051044602079487
2016-11-10,1.0401162373314017,1.0530949373238752
2016-11-11,1.0422760464319867,1.051622777183947
2016-11-14,1.049382595227276,1.0515013118258671
2016-11-15,1.0593088781710611,1.05936740841512
2016-11-16,1.0566458057315793,1.0576911864736178
2016-11-17,1.06494323682199,1.0626372558546302
2016-11-18,1.0571066785369134,1.0601010591779225
2016-11-21,1.064799554066367,1.068010883296084
2016-11-22,1.0671429139350923,1.0703235837139249
2016-11-23,1.0702331020833866,1.0711884170634536
2016-11-25,1.0716314624406422,1.0753814012243708
2016-11-28,1.0656712780287203,1.069730832766495
2016-11-29,1.0680060337927306,1.0711592653775144
2016-11-30,1.0626748974706728,1.0683169759984454
2016-12-01,1.050017486725641,1.0645612671266158
2016-12-02,1.0515536548186009,1.0649839665727339
2016-12-05,1.0627237833943204,1.0711835584491307
2016-12-06,1.0695135948312564,1.0748372364201735
2016-12-07,1.0830351415325268,1.0889855213293171
2016-12-08,1.0914322746862926,1.0913370906617437
2016-12-09,1.0924454368180128,1.097818482168886
2016-12-12,1.0833058985177386,1.0965698182878245
2016-12-13,1.0855861847105042,1.1037411330288602
2016-12-14,1.0741196656743508,1.094781848216889
2016-12-15,1.0797374550917096,1.0990331357496848
2016-12-16,1.0742777651962818,1.0971091244776994
2016-12-19,1.0786625857441818,1.0992760664658443
2016-12-20,1.0816372966995975,1.103274706053834
2016-12-21,1.0807639898319552,1.1005635992614908
2016-12-22,1.072810280162778,1.0985132640171027
2016-12-23,1.0751392446426973,1.0998882518705668
2016-12-27,1.0779733523065869,1.1023612865610732
2016-12-28,1.0669410365811163,1.0931493538042956
2016-12-29,1.067732140947575,1.0928286852589648
2016-12-30,1.0621970980119126,1.0877611505198723
2017-01-03,1.0704971857892291,1.0969925177339428
2017-01-04,1.0866189962383552,1.1032698474395108
2017-01-05,1.0845823173281963,1.1024195899329516
2017-01-06,1.0890605513688316,1.1062967641628612
2017-01-09,1.0820752104123277,1.1023710037897196
2017-01-10,1.0895664874652602,1.1023710037897196
2017-01-11,1.0909943311268395,1.1054902341852109
2017-01-12,1.0918569822421764,1.1031192303954918
2017-01-13,1.0935569536285843,1.1051598484112335
2017-01-17,1.0920311301095504,1.1018802837430768
2017-01-18,1.0937710403638057,1.1038237294723547
2017-01-19,1.087396166864741,1.0998396657273348
2017-01-20,1.0925533964262784,1.1035419298416096
2017-01-23,1.0896512133062142,1.1005733164901372
2017-01-24,1.0969958538869506,1.1077980759887283
2017-01-25,1.103627709175525,1.116689340200175
2017-01-26,1.104737259205668,1.115868234379555
2017-01-27,1.1002309631109102,1.1149013701292392
2017-01-30,1.0919134782468503,1.1082013409775533
2017-01-31,1.0891714629522862,1.1072150422699447
2017-02-01,1.0870395473083225,1.1075454280439219
2017-02-02,1.0899747447804302,1.108177047905937
2017-02-03,1.1002681502996872,1.1162277718394713
2017-02-06,1.0975011474912173,1.1138664852783984
2017-02-07,1.0982984828122808,1.1141191332232043
2017-02-08,1.103613989354515,1.1148916529005926
2017-02-09,1.1110161338192397,1.1213050238072098
2017-02-10,1.118754124326366,1.1253036633951992
2017-02-13,1.1190071117416762,1.1312068797978811
2017-02-14,1.1197384736830847,1.135739966961422
2017-02-15,1.1257228548262708,1.141409969876591
2017-02-16,1.1222351249047058,1.1404236711689821
2017-02-17,1.1290918793700635,1.1423379652123211
2017-02-21,1.1368236463825985,1.1492469147799045
2017-02-22,1.1300028012806556,1.1480031095131664
2017-02-23,1.1281132178824567,1.1484841123311627
2017-02-24,1.1334175394709922,1.1501992031872506
2017-02-27,1.1355182824212684,1.1513701292391405
2017-02-28,1.1312689483915093,1.1484015158876681
2017-03-01,1.1428026119865402,1.1641045573802344
2017-03-02,1.1331123053585812,1.1572830628704687
2017-03-03,1.13449039308051,1.157866096589252
2017-03-06,1.1268645549189444,1.1540715188028368
2017-03-07,1.1207012769918994,1.1507093576911858
2017-03-08,1.116445559170417,1.1480808473423372
2017-03-09,1.1125514749765528,1.148999125449421
2017-03-10,1.115025416103888,1.1527548343212508
2017-03-13,1.1151779034835037,1.1531775337673689
2017-03-14,1.1092795941522935,1.1492809250801665
2017-03-15,1.1214197979747635,1.1589058400544159
2017-03-16,1.119018583604598,1.157020697697016
2017-03-17,1.120984179821408,1.155499951413856
2017-03-20,1.1180128654112564,1.1531775337673686
2017-03-21,1.101995649958432,1.1388689145855593
2017-03-22,1.1062708062573274,1.1410212807307347
2017-03-23,1.106635064977939,1.1398114857642592
2017-03-24,1.1098332882460409,1.1388494801282665
2017-03-27,1.108429411971648,1.137688271305023
2017-03-28,1.1175047181130713,1.1459381984258081
2017-03-29,1.1197289968676856,1.147182003692546
2017-03-30,1.1213881142651398,1.15054902341852
2017-03-31,1.1185006837376197,1.147954523369934
